publish_date,id,title,sentiments,effects,sound,behaviour,tags,people,location
2020-03-21,dlqXYv-U3-o,In the Ghetto,0,0,0,0,0,0,0
2020-03-20,trd01LLuD5w,Coronavirus Update,0,0,0,0,0,0,0
2020-03-05,J3dunVyjdi0,Corona Virus in Europa,0,0,0,0,0,0,0
2020-02-24,ElqTeq4btxU,Nebuchadnezzar ... where the crew would locate and free the minds of other humans,0,0,0,0,0,0,0
2020-02-17,PMKpk6bkq6I,Schokierende Wahrheit über das Coronavirus : Es existiert nicht!,0,0,0,0,0,0,0
2020-02-16,lRmQdVnOCYo,Entdecke Wahrhaftigkeit!,0,0,0,0,0,0,0
2020-02-03,DPhjTcTPHRM,tag beginnt IV,0,0,0,0,0,0,0
2020-02-03,bSKDEhuFBN0,"Tag beginnt, dritter Teil",0,0,0,0,0,0,0
2020-02-03,Tdf6UdMKga0,tag beginnt teil zwei,0,0,0,0,0,0,0
2020-02-01,Hbe83UerEeU,tag beginnt,0,0,0,0,0,0,0
2020-01-22,fafzeuZNuhQ,Das Erbe dieser Welt :: Der Kampf ums Paradies,0,0,0,0,0,0,0
2020-01-22,d5RZ3AigKbw,WISSEN,0,0,0,0,0,0,0
2020-01-19,tytilItp-50,KAMPF,0,0,0,0,0,0,0
2020-01-18,2Oq-9OLi-SE,Der Traum ist aus - Selbsttäuschung,0,0,0,0,0,0,0
2020-01-10,8efNMfNOrAs,Das Erbe dieser Welt,0,0,0,0,0,0,0
2020-01-09,eZdomtePGTw,Wenn der Vorhang fällt,0,0,0,0,0,0,0
2020-01-01,7YJlaZauZck,DÄMONISCH,0,0,0,0,0,0,0
2019-12-19,L66kwbUaM8g,fall ben fettfuss,0,0,0,0,0,0,0
2019-12-19,kdBN60_ehH8,Kapitän Paul,0,0,0,0,0,0,0
2019-12-19,i3U6Ad8f7_Q,"Es gibt keine Garantie, keine Sicherheit - Für Nichts.",0,0,0,0,0,0,0
2019-12-13,ugy_Yl_jFGA,gaizaz,0,0,0,0,0,0,0
2019-12-09,ytQKMSzSFrs,Helm + X,0,0,0,0,0,0,0
2019-12-08,YfK5LvGXXGE,Selbst ist der Mann,0,0,0,0,0,0,0
2019-12-08,X4wLce0Jj80,Welt der Wunder?,0,0,0,0,0,0,0
2019-12-02,LvEvufTrp1Q,τριάς,0,0,0,0,0,0,0
2019-11-28,dlY1Clxm-b0,/dɛŋkn̩/,0,0,0,0,0,0,0
2019-11-26,2iEQDuuZwwI,ψυχή,0,0,0,0,0,0,0
2019-11-24,eN5aRTs1mdg,вийти,0,0,0,0,0,0,0
2019-11-23,iTf-fp_J5Hw,"rette sich, wer kann - every man for himself",0,0,0,0,0,0,0
2019-11-23,FHM7X55xwAo,/Aúto/,0,0,0,0,0,0,0
2019-11-22,oFZNkTs5k3I,Ein Gleichnis - Die Offenbarung im Milchshake,0,0,0,0,0,0,0
2019-11-20,_LEpsueMr98,CouchTalk novembeR 2 0 1 9,0,0,0,0,0,0,0
2019-11-18,Iflwh0uEeYY,Das Seminar der anderen Art : Dein Training im Umgang mit Informationen,0,0,0,0,0,0,0
2019-11-15,eszt_n423Y0,Schöpferwissen TV am Ende der Zeit : Umgang mit Informationen,0,0,0,0,0,0,0
2019-11-15,lJ-MGNCP4-Q,zemiˈnaːɐ̯ : Das Seminar der anderen Art,0,0,0,0,0,0,0
2019-11-13,oBG8WxkEtO4,Das grösste Problem des Menschen ist er Selbst,0,0,0,0,0,0,0
2019-11-12,vSvlLqxJI-I,Kapitän Paul - Wer Bist du wirklich?,0,0,0,0,0,0,0
2019-11-12,GhNCA1ndOy0,wenn Menschen über Menschen reden,0,0,0,0,0,0,0
2019-11-03,P203IZYscOI,Angst Angst Angst - ANGST überall,0,0,0,0,0,0,0
2019-11-03,9s_6CPe1Am0,"Trailer Faszination Wissen - Wer plant, ergibt sich der Sklaverei",0,0,0,0,0,0,0
2019-10-27,yIT_nbzetBg,"Warum bin Ich, wie Ich bin?",0,0,0,0,0,0,0
2019-10-27,99gX6GBM010,Kann ein Blinder einem Blinden den Weg weisen?,0,0,0,0,0,0,0
2019-10-26,2ninbya6LAg,Schöpferwissen TV  am Ende der Zeit,0,0,0,0,0,0,0
2019-10-22,lsfnmAi7Ayg,Die NWO in DIr,0,0,0,0,0,0,0
2019-10-20,cb_IZYiGdsY,Blickwinkel schoepferwissenTVhautnah,0,0,0,0,0,0,0
2019-10-19,wBFfGyt6nqw,ἐτυμολογία,0,0,0,0,0,0,0
2019-10-17,d2bzagjQUD8,Podcast auto talk,0,0,0,0,0,0,0
2019-10-15,sQThhiJ1p7A,Gefangenenchor Flieg Gedanke schoepferwissenTV,0,0,0,0,0,0,0
2019-10-12,Ccp6ZnkshlY,Die Wahrheit verändert Dich,0,0,0,0,0,0,0
2019-10-07,gYIVlmrlxco,heute morgen,0,0,0,0,0,0,0
